sfid;oszint;sfmaz;sfevk;valtip;forr;jogi;eredm;a;b;c;d;e;f;ie;ilis;ilev;j;ke;klis;m;n;jojkv;feldar;levell;levszl;eid
46762;51;;;'L';0;'N';0;7601666;0;0;378449;7980115;5283097;0;108095;108095;5391192;0;5383304;57928;5325376;20358;'98.96';'96.04';100;
99999999;52;;;'L';0;'N';0;7601666;0;0;0;7601666;5283097;0;0;0;5283097;0;5279774;57618;5222156;10179;'98.97';'0';0;
46761;53;;;'L';0;'N';0;0;0;0;378449;378449;0;0;108095;108095;108095;0;103530;310;103220;0;'0';'96.04';100;
46721;4;'01';;'L';0;'N';0;1261255;0;0;0;1261255;943567;0;0;0;943567;0;942729;6710;936019;1392;'98.72';'0';0;
46722;4;'02';;'L';0;'N';0;295094;0;0;0;295094;198677;0;0;0;198677;0;198606;3211;195395;571;'99.3';'0';0;
46723;4;'03';;'L';0;'N';0;406692;0;0;0;406692;270882;0;0;0;270882;0;270725;2573;268152;505;'98.83';'0';0;
46724;4;'04';;'L';0;'N';0;277480;0;0;0;277480;183774;0;0;0;183774;0;183673;2544;181129;394;'98.99';'0';0;
46725;4;'05';;'L';0;'N';0;513327;0;0;0;513327;333748;0;0;0;333748;0;333527;4383;329144;808;'99.14';'0';0;
46726;4;'06';;'L';0;'N';0;321552;0;0;0;321552;223772;0;0;0;223772;0;223615;2558;221057;381;'98.96';'0';0;
46727;4;'07';;'L';0;'N';0;331491;0;0;0;331491;233594;0;0;0;233594;0;233504;2234;231270;426;'98.84';'0';0;
46728;4;'08';;'L';0;'N';0;345743;0;0;0;345743;250935;0;0;0;250935;0;250760;2507;248253;446;'98.89';'0';0;
46729;4;'09';;'L';0;'N';0;414870;0;0;0;414870;269034;0;0;0;269034;0;268836;3276;265560;460;'98.71';'0';0;
46730;4;'10';;'L';0;'N';0;234262;0;0;0;234262;162817;0;0;0;162817;0;162707;1802;160905;315;'99.06';'0';0;
46731;4;'11';;'L';0;'N';0;294802;0;0;0;294802;193387;0;0;0;193387;0;193314;2992;190322;368;'98.92';'0';0;
46732;4;'12';;'L';0;'N';0;238736;0;0;0;238736;165595;0;0;0;165595;0;165509;1358;164151;295;'98.99';'0';0;
46733;4;'13';;'L';0;'N';0;153509;0;0;0;153509;102631;0;0;0;102631;0;102649;1764;100885;251;'99.21';'0';0;
46734;4;'14';;'L';0;'N';0;969905;0;0;0;969905;692077;0;0;0;692077;0;691541;7256;684285;1068;'98.89';'0';0;
46735;4;'15';;'L';0;'N';0;242290;0;0;0;242290;162289;0;0;0;162289;0;162261;2403;159858;431;'99.08';'0';0;
46736;4;'16';;'L';0;'N';0;433585;0;0;0;433585;284840;0;0;0;284840;0;284629;4434;280195;564;'98.95';'0';0;
46737;4;'17';;'L';0;'N';0;178154;0;0;0;178154;119077;0;0;0;119077;0;119017;1197;117820;286;'98.96';'0';0;
46738;4;'18';;'L';0;'N';0;199749;0;0;0;199749;147176;0;0;0;147176;0;147071;1526;145545;363;'99.18';'0';0;
46739;4;'19';;'L';0;'N';0;272427;0;0;0;272427;192480;0;0;0;192480;0;192407;1674;190733;430;'99.08';'0';0;
46740;4;'20';;'L';0;'N';0;216743;0;0;0;216743;152745;0;0;0;152745;0;152694;1216;151478;425;'99.3';'0';0;
39943;1;'01';'01';'J';0;'N';1;58600;0;0;0;58600;44343;0;0;0;44343;44262;0;634;43628;70;'98.59';'0';0;4118
39944;1;'01';'02';'J';0;'N';1;65474;0;0;0;65474;52508;0;0;0;52508;52446;0;361;52085;79;'98.75';'0';0;3822
39945;1;'01';'03';'J';0;'N';1;62994;0;0;0;62994;50993;0;0;0;50993;50902;0;461;50441;79;'98.75';'0';0;3864
39946;1;'01';'04';'J';0;'N';1;67406;0;0;0;67406;54653;0;0;0;54653;54559;0;295;54264;78;'98.73';'0';0;3821
39947;1;'01';'05';'J';0;'N';1;60913;0;0;0;60913;41528;0;0;0;41528;41482;0;384;41098;67;'98.53';'0';0;4200
39948;1;'01';'06';'J';0;'N';1;68267;0;0;0;68267;43464;0;0;0;43464;43429;0;325;43104;82;'98.8';'0';0;3802
39949;1;'01';'07';'J';0;'N';1;76370;0;0;0;76370;55675;0;0;0;55675;55560;0;342;55218;76;'98.7';'0';0;3930
39950;1;'01';'08';'J';0;'N';1;73647;0;0;0;73647;55798;0;0;0;55798;55734;0;437;55297;63;'98.44';'0';0;3815
39951;1;'01';'09';'J';0;'N';1;73709;0;0;0;73709;51731;0;0;0;51731;51676;0;333;51343;96;'98.97';'0';0;4430
39952;1;'01';'10';'J';0;'N';1;70264;0;0;0;70264;54084;0;0;0;54084;53989;0;452;53537;81;'98.78';'0';0;4035
39953;1;'01';'11';'J';0;'N';1;73262;0;0;0;73262;54484;0;0;0;54484;54443;0;415;54028;69;'98.57';'0';0;4225
39954;1;'01';'12';'J';0;'N';1;73084;0;0;0;73084;53234;0;0;0;53234;53183;0;444;52739;79;'98.75';'0';0;4202
39955;1;'01';'13';'J';0;'N';1;67062;0;0;0;67062;53840;0;0;0;53840;53788;0;543;53245;70;'98.59';'0';0;3865
39956;1;'01';'14';'J';0;'N';1;73743;0;0;0;73743;56250;0;0;0;56250;56194;0;397;55797;81;'98.78';'0';0;3877
39957;1;'01';'15';'J';0;'N';1;77066;0;0;0;77066;58355;0;0;0;58355;58280;0;542;57738;75;'98.68';'0';0;3981
39958;1;'01';'16';'J';0;'N';1;69942;0;0;0;69942;50367;0;0;0;50367;50310;0;458;49852;80;'98.77';'0';0;3861
39959;1;'01';'17';'J';0;'N';1;75213;0;0;0;75213;54228;0;0;0;54228;54155;0;886;53269;93;'98.94';'0';0;4065
39960;1;'01';'18';'J';0;'N';1;74259;0;0;0;74259;57994;0;0;0;57994;57916;0;413;57503;74;'98.67';'0';0;3953
39961;1;'02';'01';'J';0;'N';1;74267;0;0;0;74267;52719;0;0;0;52719;52650;0;411;52239;98;'98.99';'0';0;4061
39962;1;'02';'02';'J';0;'N';1;74776;0;0;0;74776;50948;0;0;0;50948;50883;0;469;50414;99;'99';'0';0;3841
39963;1;'02';'03';'J';0;'N';1;70598;0;0;0;70598;46403;0;0;0;46403;46311;0;601;45710;150;'99.34';'0';0;3875
39964;1;'02';'04';'J';0;'N';1;75456;0;0;0;75456;48607;0;0;0;48607;48542;0;718;47824;224;'99.56';'0';0;3868
39965;1;'03';'01';'J';0;'N';1;67996;0;0;0;67996;45182;0;0;0;45182;45161;0;515;44646;76;'98.7';'0';0;3878
39966;1;'03';'02';'J';0;'N';1;70007;0;0;0;70007;48688;0;0;0;48688;48650;0;352;48298;79;'98.75';'0';0;3873
39967;1;'03';'03';'J';0;'N';1;65111;0;0;0;65111;44383;0;0;0;44383;44340;0;373;43967;88;'98.88';'0';0;3828
39968;1;'03';'04';'J';0;'N';1;70674;0;0;0;70674;46670;0;0;0;46670;46653;0;414;46239;90;'98.9';'0';0;3894
39969;1;'03';'05';'J';0;'N';1;68166;0;0;0;68166;43928;0;0;0;43928;43909;0;593;43316;93;'98.94';'0';0;3853
39970;1;'03';'06';'J';0;'N';1;64746;0;0;0;64746;42003;0;0;0;42003;41948;0;404;41544;79;'98.75';'0';0;3851
