valtip;maz;taz;sorsz;a;f
'J';'01';'002';'010';742;629
'L';'01';'002';'010';742;629
'J';'01';'003';'047';570;442
'L';'01';'003';'047';570;442
'J';'01';'004';'064';1154;878
'L';'01';'004';'064';1154;878
'J';'01';'005';'008';1005;748
'L';'01';'005';'008';1005;748
'J';'01';'007';'011';588;395
'L';'01';'007';'011';588;395
'J';'01';'008';'060';640;350
'L';'01';'008';'060';640;350
'J';'01';'010';'019';721;547
'L';'01';'010';'019';721;547
'J';'01';'011';'065';699;539
'L';'01';'011';'065';699;539
'J';'01';'012';'006';541;426
'L';'01';'012';'006';541;426
'J';'01';'013';'062';636;498
'L';'01';'013';'062';636;498
'J';'01';'014';'012';821;600
'L';'01';'014';'012';821;600
'J';'01';'015';'051';732;483
'L';'01';'015';'051';732;483
'J';'01';'016';'022';764;627
'L';'01';'016';'022';764;627
'J';'01';'017';'016';437;174
'L';'01';'017';'016';437;174
'J';'01';'018';'034';861;531
'L';'01';'018';'034';861;531
'J';'01';'020';'006';938;681
'L';'01';'020';'006';938;681
'J';'01';'021';'015';939;741
'L';'01';'021';'015';939;741
'J';'01';'022';'009';825;540
'L';'01';'022';'009';825;540
'J';'02';'181';'003';595;384
'L';'02';'181';'003';595;384
'J';'02';'217';'052';657;489
'L';'02';'217';'052';657;489
'J';'02';'217';'078';590;423
'L';'02';'217';'078';590;423
'J';'02';'263';'005';596;394
'L';'02';'263';'005';596;394
'J';'03';'004';'030';218;125
'L';'03';'004';'030';218;125
'J';'03';'056';'009';173;110
'L';'03';'056';'009';173;110
'J';'03';'060';'045';618;486
'L';'03';'060';'045';618;486
'J';'03';'060';'050';521;420
'L';'03';'060';'050';521;420
'J';'03';'065';'013';705;478
'L';'03';'065';'013';705;478
'J';'03';'066';'008';741;520
'L';'03';'066';'008';741;520
'J';'04';'003';'011';849;530
'L';'04';'003';'011';849;530
'J';'04';'004';'061';267;161
'L';'04';'004';'061';267;161
'J';'04';'026';'030';156;89
'L';'04';'026';'030';156;89
'J';'04';'059';'016';130;73
'L';'04';'059';'016';130;73
'J';'05';'153';'005';916;706
'L';'05';'153';'005';916;706
'J';'05';'196';'012';702;519
'L';'05';'196';'012';702;519
'J';'05';'202';'004';596;419
'L';'05';'202';'004';596;419
'J';'05';'202';'116';625;491
'L';'05';'202';'116';625;491
'J';'05';'226';'030';199;116
'L';'05';'226';'030';199;116
'J';'05';'276';'014';696;460
'L';'05';'276';'014';696;460
'J';'05';'326';'009';908;661
'L';'05';'326';'009';908;661
'J';'06';'024';'049';195;120
'L';'06';'024';'049';195;120
'J';'06';'051';'310';989;725
'L';'06';'051';'310';989;725
'J';'06';'051';'411';934;655
'L';'06';'051';'411';934;655
'J';'06';'053';'004';60;34
'L';'06';'053';'004';60;34
'J';'07';'013';'008';1028;681
'L';'07';'013';'008';1028;681
'J';'07';'024';'021';432;324
'L';'07';'024';'021';432;324
'J';'07';'078';'019';78;52
'L';'07';'078';'019';78;52
'J';'07';'094';'056';482;375
'L';'07';'094';'056';482;375
'J';'07';'094';'091';457;285
'L';'07';'094';'091';457;285
'J';'08';'027';'002';1045;826
'L';'08';'027';'002';1045;826
'J';'08';'059';'009';729;534
'L';'08';'059';'009';729;534
'J';'08';'059';'053';830;627
'L';'08';'059';'053';830;627
'J';'08';'104';'024';696;498
'L';'08';'104';'024';696;498
'J';'08';'150';'026';613;416
'L';'08';'150';'026';613;416
'J';'09';'009';'005';647;342
'L';'09';'009';'005';647;342
'J';'09';'018';'018';911;583
'L';'09';'018';'018';911;583
'J';'09';'018';'131';644;481
'L';'09';'018';'131';644;481
'J';'09';'018';'134';1073;701
'L';'09';'018';'134';1073;701
'J';'09';'030';'018';751;520
'L';'09';'030';'018';751;520
'J';'09';'035';'002';1036;755
'L';'09';'035';'002';1036;755
'J';'10';'025';'031';697;531
'L';'10';'025';'031';697;531
'J';'10';'039';'012';699;529
'L';'10';'039';'012';699;529
'J';'10';'046';'016';602;421
'L';'10';'046';'016';602;421
'J';'11';'016';'007';1006;744
'L';'11';'016';'007';1006;744
'J';'11';'027';'005';874;621
'L';'11';'027';'005';874;621
'J';'11';'052';'030';966;630
'L';'11';'052';'030';966;630
'J';'11';'073';'014';787;346
'L';'11';'073';'014';787;346
'J';'12';'028';'011';731;521
'L';'12';'028';'011';731;521
'J';'12';'038';'008';1227;935
'L';'12';'038';'008';1227;935
'J';'12';'065';'025';618;467
'L';'12';'065';'025';618;467
'J';'13';'003';'001';747;515
'L';'13';'003';'001';747;515
'J';'13';'103';'010';203;143
'L';'13';'103';'010';203;143
'J';'14';'014';'002';604;480
'L';'14';'014';'002';604;480
'J';'14';'017';'007';601;457
'L';'14';'017';'007';601;457
'J';'14';'025';'008';828;647
'L';'14';'025';'008';828;647
'J';'14';'034';'010';1033;745
'L';'14';'034';'010';1033;745
'J';'14';'038';'017';970;717
'L';'14';'038';'017';970;717
'J';'14';'047';'023';673;529
'L';'14';'047';'023';673;529
'J';'14';'085';'001';818;612
'L';'14';'085';'001';817;611
'J';'14';'087';'004';1003;761
'L';'14';'087';'004';1003;761
'J';'14';'126';'011';964;812
'L';'14';'126';'011';964;812
'J';'14';'134';'006';901;652
'L';'14';'134';'006';901;652
'J';'14';'169';'023';984;706
'L';'14';'169';'023';984;706
'J';'14';'177';'001';579;440
'L';'14';'177';'001';579;440
'J';'15';'020';'003';553;384
'L';'15';'020';'003';553;384
'J';'15';'091';'037';875;618
'L';'15';'091';'037';875;618
'J';'15';'123';'002';168;116
'L';'15';'123';'002';168;116
'J';'15';'175';'011';641;446
'L';'15';'175';'011';641;446
'J';'16';'077';'002';949;638
'L';'16';'077';'002';949;638
'J';'16';'094';'002';691;492
'L';'16';'094';'002';691;492
'J';'16';'112';'003';1026;718
'L';'16';'112';'003';1026;718
'J';'16';'119';'002';1012;764
'L';'16';'119';'002';1012;764
'J';'16';'119';'073';1114;905
'L';'16';'119';'073';1114;905
'J';'16';'224';'003';1104;799
'L';'16';'224';'003';1104;799
'J';'17';'020';'022';608;382
'L';'17';'020';'022';608;382
'J';'17';'079';'016';271;188
'L';'17';'079';'016';271;188
'J';'17';'095';'005';332;144
'L';'17';'095';'005';332;144
'J';'18';'095';'010';152;122
'L';'18';'095';'010';152;122
'J';'18';'167';'017';476;328
'L';'18';'167';'017';476;328
'J';'18';'186';'059';462;364
'L';'18';'186';'059';462;364
'J';'19';'026';'001';1280;922
'L';'19';'026';'001';1280;922
'J';'19';'153';'002';791;494
'L';'19';'153';'002';791;494
'J';'19';'188';'006';844;597
'L';'19';'188';'006';844;597
'J';'19';'203';'002';821;597
'L';'19';'203';'002';821;597
'J';'20';'093';'011';1015;754
'L';'20';'093';'011';1015;754
'J';'20';'134';'017';208;126
'L';'20';'134';'017';208;126
'J';'20';'231';'024';500;353
'L';'20';'231';'024';500;353
