jfid;valtip;maz;taz;sorsz;a;b;bo;c;d;e;f;g;i1;i2;i3;j;o;k1;k2;l;m;n;pa;pf;po;pk;pl;pm;pn;na;nf;no;nk;nl;nm;nn
42505;'J';'01';'001';'001';1001;0;0;0;0;1001;845;0;0;0;0;845;0;843;0;-2;5;838;0;0;0;0;0;0;0;0;0;0;0;0;0;0
42506;'L';'01';'001';'001';1001;0;0;0;0;1001;845;0;0;0;0;845;0;844;0;0;7;837;1000;844;0;843;-1;7;836;1;1;0;1;0;0;1
42507;'J';'01';'001';'002';976;0;0;0;0;976;796;0;0;0;0;796;0;793;0;-3;7;786;0;0;0;0;0;0;0;0;0;0;0;0;0;0
42508;'L';'01';'001';'002';976;0;0;0;0;976;796;0;0;0;0;796;0;796;0;0;4;792;976;796;0;796;0;4;792;0;0;0;0;0;0;0
42509;'J';'01';'001';'003';1030;0;1595;0;0;1030;677;1513;1504;0;0;677;0;675;0;-2;5;670;0;0;0;0;0;0;0;0;0;0;0;0;0;0
42510;'L';'01';'001';'003';1030;0;1595;0;0;1030;677;1513;1504;0;0;677;0;678;0;0;16;662;1028;675;0;676;1;16;660;2;2;0;2;0;0;2
42511;'J';'01';'001';'004';946;0;0;0;0;946;722;0;0;0;0;722;0;720;0;-2;12;708;0;0;0;0;0;0;0;0;0;0;0;0;0;0
42512;'L';'01';'001';'004';946;0;0;0;0;946;722;0;0;0;0;722;0;721;0;0;8;713;946;722;0;721;-1;8;713;0;0;0;0;0;0;0
42513;'J';'01';'001';'005';917;0;0;0;0;917;740;0;0;0;0;740;1;739;0;-1;7;732;0;0;0;0;0;0;0;0;0;0;0;0;0;0
42514;'L';'01';'001';'005';917;0;0;0;0;917;740;0;0;0;0;740;0;740;0;0;6;734;915;739;0;739;0;6;733;2;1;0;1;0;0;1
42515;'J';'01';'001';'006';1007;0;0;0;0;1007;822;0;0;0;0;822;0;819;0;-3;6;813;0;0;0;0;0;0;0;0;0;0;0;0;0;0
42516;'L';'01';'001';'006';1007;0;0;0;0;1007;822;0;0;0;0;822;0;821;0;0;2;819;1006;821;0;820;-1;2;818;1;1;0;1;0;0;1
42517;'J';'01';'001';'007';917;0;0;0;0;917;727;0;0;0;0;727;0;725;0;-2;7;718;0;0;0;0;0;0;0;0;0;0;0;0;0;0
42518;'L';'01';'001';'007';917;0;0;0;0;917;727;0;0;0;0;727;0;727;0;0;3;724;914;725;0;725;0;3;722;3;2;0;2;0;0;2
42519;'J';'01';'001';'008';886;0;0;0;0;886;711;0;0;0;0;711;0;710;0;-1;4;706;0;0;0;0;0;0;0;0;0;0;0;0;0;0
42520;'L';'01';'001';'008';886;0;0;0;0;886;711;0;0;0;0;711;0;711;0;0;2;709;885;710;0;710;0;2;708;1;1;0;1;0;0;1
