jfid;jlid;nemz;pa;pf;po;pk;pl;pm;pn
42506;7;4;'1';'1';'0';'1';'0';'0';'1'
42510;6;3;'1';'1';'0';'1';'0';'0';'1'
42510;9;5;'1';'1';'0';'1';'0';'0';'1'
42514;17;1;'1';'0';'0';'0';'0';'0';'0'
42514;33;6;'1';'1';'0';'1';'0';'0';'1'
42516;9;5;'1';'1';'0';'1';'0';'0';'1'
42518;3;9;'2';'1';'0';'1';'0';'0';'1'
42518;9;5;'1';'1';'0';'1';'0';'0';'1'
42520;13;13;'1';'1';'0';'1';'0';'0';'1'
42526;5;7;'2';'1';'0';'0';'-1';'0';'0'
42526;33;6;'1';'1';'0';'1';'0';'0';'1'
42530;2;2;'0';'0';'0';'0';'0';'0';'0'
42530;5;7;'0';'0';'0';'0';'0';'0';'0'
42530;9;5;'0';'0';'0';'0';'0';'0';'0'
42530;13;13;'0';'0';'0';'0';'0';'0';'0'
42534;9;5;'2';'2';'0';'2';'0';'0';'2'
42536;5;7;'1';'1';'0';'1';'0';'1';'0'
42536;9;5;'2';'2';'0';'2';'0';'0';'2'
42547;5;7;'1';'0';'0';'0';'0';'0';'0'
42550;5;7;'16';'3';'0';'3';'0';'2';'1'
42555;3;9;'21';'18';'0';'17';'-1';'1';'16'
42555;10;11;'3';'3';'0';'3';'0';'1';'2'
42559;5;7;'1';'0';'0';'0';'0';'0';'0'
42561;5;7;'1';'1';'0';'1';'0';'0';'1'
42563;5;7;'1';'0';'0';'0';'0';'0';'0'
42568;5;7;'4';'2';'0';'2';'0';'1';'1'
42570;5;7;'11';'6';'0';'5';'-1';'1';'4'
42570;9;5;'1';'1';'0';'1';'0';'0';'1'
42572;5;7;'17';'6';'0';'6';'0';'1';'5'
42574;5;7;'14';'10';'0';'9';'-1';'5';'4'
42576;5;7;'19';'8';'0';'8';'0';'3';'5'
42578;5;7;'3';'0';'0';'0';'0';'0';'0'
42582;5;7;'1';'1';'0';'1';'0';'1';'0'
42588;5;7;'5';'2';'0';'2';'0';'0';'2'
42590;5;7;'22';'19';'1';'19';'0';'2';'17'
42592;5;7;'21';'11';'0';'11';'0';'1';'10'
42594;9;5;'246';'212';'0';'212';'0';'30';'182'
42598;10;11;'12';'11';'0';'11';'0';'0';'11'
42602;5;7;'16';'7';'0';'7';'0';'3';'4'
42604;5;7;'4';'0';'0';'0';'0';'0';'0'
42605;9;5;'2';'2';'0';'2';'0';'0';'2'
42607;5;7;'6';'4';'0';'4';'0';'2';'2'
42609;5;7;'1';'0';'0';'0';'0';'0';'0'
42609;9;5;'2';'1';'0';'1';'0';'0';'1'
42612;5;7;'1';'1';'0';'1';'0';'0';'1'
42612;9;5;'6';'4';'0';'4';'0';'0';'4'
42614;5;7;'23';'10';'0';'10';'0';'5';'5'
42614;13;13;'1';'1';'0';'1';'0';'0';'1'
42626;5;7;'2';'2';'0';'2';'0';'0';'2'
42628;5;7;'11';'6';'0';'6';'0';'3';'3'
42631;5;7;'8';'5';'0';'5';'0';'4';'1'
42634;5;7;'1';'0';'0';'0';'0';'0';'0'
42642;13;13;'1';'1';'1';'0';'-1';'0';'0'
42650;3;9;'6';'6';'0';'6';'0';'0';'6'
42652;3;9;'19';'19';'0';'19';'0';'3';'16'
42654;5;7;'1';'0';'0';'0';'0';'0';'0'
42658;5;7;'2';'0';'0';'0';'0';'0';'0'
42658;7;4;'1';'1';'0';'1';'0';'0';'1'
42658;9;5;'4';'2';'0';'2';'0';'0';'2'
42660;9;5;'1';'0';'0';'0';'0';'0';'0'
42662;3;9;'1';'1';'0';'1';'0';'1';'0'
42662;5;7;'2';'1';'0';'1';'0';'0';'1'
42668;13;13;'1';'1';'0';'1';'0';'0';'1'
42670;9;5;'2';'2';'0';'1';'-1';'1';'0'
42670;10;11;'1';'1';'0';'1';'0';'1';'0'
42672;3;9;'1';'1';'0';'1';'0';'0';'1'
42672;7;4;'4';'3';'0';'3';'0';'0';'3'
42672;17;1;'1';'1';'0';'1';'0';'0';'1'
42676;7;4;'1';'1';'0';'1';'0';'0';'1'
42678;3;9;'10';'9';'0';'9';'0';'7';'2'
42678;5;7;'1';'0';'0';'0';'0';'0';'0'
42678;10;11;'1';'1';'0';'1';'0';'0';'1'
42680;3;9;'1';'1';'0';'1';'0';'1';'0'
42682;9;5;'2';'2';'0';'2';'0';'0';'2'
42686;7;4;'4';'3';'0';'3';'0';'0';'3'
42688;17;1;'2';'2';'0';'2';'0';'0';'2'
42690;13;13;'1';'1';'0';'1';'0';'0';'1'
42692;3;9;'1';'1';'0';'1';'0';'1';'0'
42694;9;5;'5';'5';'0';'5';'0';'0';'5'
42696;9;5;'1';'1';'0';'1';'0';'0';'1'
42700;13;13;'1';'0';'0';'0';'0';'0';'0'
42704;9;5;'2';'2';'0';'1';'-1';'0';'1'
42706;9;5;'1';'1';'0';'1';'0';'0';'1'
42706;13;13;'1';'1';'0';'1';'0';'0';'1'
42706;19;8;'1';'0';'0';'0';'0';'0';'0'
42712;10;11;'1';'0';'0';'0';'0';'0';'0'
42714;6;3;'2';'2';'0';'2';'0';'0';'2'
42714;9;5;'2';'2';'0';'2';'0';'0';'2'
42714;10;11;'3';'3';'0';'3';'0';'0';'3'
42716;5;7;'2';'0';'0';'0';'0';'0';'0'
42718;10;11;'1';'1';'0';'1';'0';'0';'1'
42722;5;7;'1';'1';'0';'1';'0';'0';'1'
42724;9;5;'1';'1';'0';'1';'0';'0';'1'
42726;5;7;'1';'1';'0';'0';'-1';'0';'0'
42726;9;5;'1';'1';'0';'1';'0';'0';'1'
42728;3;9;'1';'0';'0';'0';'0';'0';'0'
42728;9;5;'1';'1';'0';'1';'0';'0';'1'
42728;13;13;'4';'4';'0';'4';'0';'3';'1'
42730;5;7;'1';'0';'0';'0';'0';'0';'0'
42730;9;5;'1';'1';'0';'1';'0';'0';'1'
42734;9;5;'1';'0';'0';'0';'0';'0';'0'
42738;9;5;'1';'1';'0';'1';'0';'0';'1'
42740;9;5;'1';'0';'0';'0';'0';'0';'0'
42742;9;5;'1';'1';'0';'1';'0';'0';'1'
42742;13;13;'1';'1';'0';'1';'0';'0';'1'
42744;9;5;'1';'1';'0';'1';'0';'0';'1'
42744;17;1;'1';'1';'0';'1';'0';'0';'1'
42748;9;5;'1';'1';'0';'1';'0';'0';'1'
42754;3;9;'1';'1';'0';'1';'0';'0';'1'
42754;9;5;'1';'0';'0';'0';'0';'0';'0'
42754;13;13;'1';'1';'0';'1';'0';'0';'1'
42756;33;6;'1';'0';'0';'0';'0';'0';'0'
42758;9;5;'1';'1';'0';'1';'0';'0';'1'
42760;9;5;'2';'2';'0';'2';'0';'0';'2'
42762;13;13;'1';'0';'0';'0';'0';'0';'0'
42766;2;2;'3';'3';'0';'3';'0';'0';'3'
42766;9;5;'2';'2';'0';'2';'0';'0';'2'
42768;9;5;'1';'1';'0';'1';'0';'0';'1'
42772;9;5;'2';'2';'0';'2';'0';'0';'2'
42776;5;7;'1';'0';'0';'0';'0';'0';'0'
42776;9;5;'2';'1';'0';'1';'0';'0';'1'
42778;3;9;'0';'0';'0';'0';'0';'0';'0'
42778;6;3;'0';'0';'0';'0';'0';'0';'0'
42778;9;5;'0';'0';'0';'0';'0';'0';'0'
42778;33;6;'0';'0';'0';'0';'0';'0';'0'
42780;10;11;'1';'1';'0';'1';'0';'0';'1'
42782;10;11;'1';'1';'0';'1';'0';'0';'1'
42782;19;8;'1';'1';'0';'1';'0';'0';'1'
42782;26;12;'1';'1';'0';'1';'0';'0';'1'
42784;17;1;'1';'1';'0';'1';'0';'1';'0'
42788;9;5;'3';'3';'0';'3';'0';'0';'3'
42790;9;5;'10';'9';'0';'9';'0';'5';'4'
42790;10;11;'1';'1';'0';'1';'0';'0';'1'
42792;9;5;'1';'1';'0';'1';'0';'0';'1'
42792;13;13;'1';'1';'0';'1';'0';'0';'1'
42794;9;5;'2';'1';'0';'1';'0';'1';'0'
42796;9;5;'8';'7';'0';'7';'0';'0';'7'
42800;5;7;'1';'0';'0';'0';'0';'0';'0'
42800;9;5;'1';'1';'0';'1';'0';'0';'1'
42802;9;5;'1';'1';'0';'1';'0';'0';'1'
42802;19;8;'1';'0';'0';'0';'0';'0';'0'
42804;9;5;'2';'2';'0';'2';'0';'1';'1'
42806;5;7;'1';'1';'0';'1';'0';'0';'1'
42810;9;5;'3';'3';'0';'3';'0';'0';'3'
42812;17;1;'2';'2';'0';'2';'0';'0';'2'
42814;9;5;'2';'2';'0';'2';'0';'0';'2'
42816;9;5;'3';'2';'0';'2';'0';'0';'2'
42818;9;5;'1';'1';'0';'1';'0';'0';'1'
42820;9;5;'1';'1';'0';'1';'0';'0';'1'
42822;9;5;'3';'3';'0';'3';'0';'0';'3'
42824;9;5;'1';'1';'0';'1';'0';'0';'1'
42826;5;7;'2';'0';'0';'0';'0';'0';'0'
42826;9;5;'4';'1';'0';'1';'0';'0';'1'
42828;9;5;'1';'1';'0';'1';'0';'0';'1'
42830;5;7;'0';'0';'0';'0';'0';'0';'0'
42830;9;5;'0';'0';'0';'0';'0';'0';'0'
42832;9;5;'9';'9';'0';'9';'0';'1';'8'
42834;9;5;'1';'0';'0';'0';'0';'0';'0'
42836;9;5;'6';'5';'0';'5';'0';'2';'3'
42836;17;1;'4';'4';'0';'4';'0';'0';'4'
42838;5;7;'2';'0';'0';'0';'0';'0';'0'
42838;9;5;'3';'3';'0';'3';'0';'0';'3'
42844;10;11;'1';'0';'0';'0';'0';'0';'0'
42846;9;5;'2';'2';'0';'2';'0';'1';'1'
42848;9;5;'1';'1';'0';'1';'0';'1';'0'
42850;9;5;'1';'1';'0';'0';'-1';'0';'0'
42852;5;7;'2';'1';'0';'1';'0';'0';'1'
42854;5;7;'2';'0';'0';'0';'0';'0';'0'
42856;5;7;'6';'1';'0';'1';'0';'1';'0'
42856;9;5;'1';'1';'0';'1';'0';'0';'1'
42856;33;6;'2';'2';'0';'2';'0';'0';'2'
42858;33;6;'1';'1';'0';'1';'0';'0';'1'
42862;5;7;'2';'0';'0';'0';'0';'0';'0'
42864;9;5;'1';'1';'0';'1';'0';'0';'1'
42864;17;1;'1';'1';'0';'1';'0';'0';'1'
42868;9;5;'1';'1';'0';'1';'0';'0';'1'
42868;33;6;'1';'1';'0';'0';'-1';'0';'0'
42870;5;7;'6';'3';'0';'3';'0';'1';'2'
42870;9;5;'1';'1';'0';'1';'0';'0';'1'
42870;19;8;'1';'0';'0';'0';'0';'0';'0'
42870;33;6;'1';'0';'0';'0';'0';'0';'0'
42872;9;5;'4';'4';'0';'4';'0';'0';'4'
42874;9;5;'1';'1';'0';'1';'0';'1';'0'
42876;5;7;'14';'2';'0';'2';'0';'2';'0'
42876;9;5;'1';'0';'0';'0';'0';'0';'0'
42876;13;13;'1';'1';'0';'1';'0';'0';'1'
42876;19;8;'1';'0';'0';'0';'0';'0';'0'
42878;9;5;'1';'1';'0';'1';'0';'0';'1'
42880;9;5;'3';'1';'0';'1';'0';'0';'1'
42880;33;6;'1';'0';'0';'0';'0';'0';'0'
42882;5;7;'7';'1';'0';'1';'0';'0';'1'
42882;9;5;'1';'0';'0';'0';'0';'0';'0'
42882;19;8;'1';'0';'0';'0';'0';'0';'0'
42884;5;7;'1';'0';'0';'0';'0';'0';'0'
42886;2;2;'3';'3';'0';'3';'0';'1';'2'
42886;5;7;'6';'1';'0';'1';'0';'1';'0'
42886;6;3;'2';'2';'0';'2';'0';'0';'2'
42892;5;7;'1';'0';'0';'0';'0';'0';'0'
42896;3;9;'2';'2';'0';'2';'0';'1';'1'
42896;9;5;'1';'1';'0';'1';'0';'0';'1'
42896;17;1;'2';'1';'0';'1';'0';'0';'1'
42898;9;5;'1';'1';'0';'1';'0';'0';'1'
42900;6;3;'1';'1';'0';'1';'0';'0';'1'
42900;9;5;'1';'1';'0';'1';'0';'0';'1'
42902;5;7;'1';'1';'0';'1';'0';'0';'1'
42902;33;6;'1';'1';'0';'1';'0';'0';'1'
42906;9;5;'2';'2';'0';'2';'0';'0';'2'
42908;9;5;'2';'2';'0';'2';'0';'0';'2'
42910;5;7;'2';'1';'0';'1';'0';'1';'0'
42914;3;9;'1';'1';'0';'2';'1';'2';'0'
42922;9;5;'1';'0';'0';'0';'0';'0';'0'
42924;5;7;'1';'1';'0';'1';'0';'0';'1'
