szkod;szpntip;nemz;hnev1;hnev2;hnev3;tnev;rovid;allapot;tajaz
'0';;;'Független jelölt';;;'Független jelölt';'Független';1;
'1001';'P';;'ÚJ MAGYAR FRONT MOZGALOM PÁRT';;;'ÚJ MAGYAR FRONT MOZGALOM PÁRT';'ÚMF';1;'492'
'1002';'N';5;'MAGYARORSZÁGI NÉMETEK ORSZÁGOS';'ÖNKORMÁNYZATA';;'MAGYARORSZÁGI NÉMETEK ORSZÁGOS ÖNKORMÁNYZATA';'MNOÖ';1;'493'
'1003';'P';;'MAGYAROK A DEMOKRÁCIÁÉRT PÁRT';;;'MAGYAROK A DEMOKRÁCIÁÉRT PÁRT';'MAD';1;'494'
'1004';'P';;'VÁLLALKOZÓK SZÖVETSÉGE A';'REFORMOKÉRT';;'VÁLLALKOZÓK SZÖVETSÉGE A REFORMOKÉRT';'VSZ';1;'495'
'1005';'P';;'EGYÜTT - A KORSZAKVÁLTÓK';'PÁRTJA';;'EGYÜTT - A KORSZAKVÁLTÓK PÁRTJA';'EGYÜTT';1;'496'
'1006';'P';;'MAGYAR DEMOKRATÁK';'SZÖVETSÉGÉNEK';'PÁRTJA';'MAGYAR DEMOKRATÁK SZÖVETSÉGÉNEK PÁRTJA';'MDSZP';1;'557'
'1007';'P';;'FÜGGETLEN KISGAZDA-,';'FÖLDMUNKÁS- ÉS POLGÁRI PÁRT';;'FÜGGETLEN KISGAZDA-, FÖLDMUNKÁS- ÉS POLGÁRI PÁRT';'FKGP';1;'497'
'1008';'P';;'A HAZA PÁRTJA';;;'A HAZA PÁRTJA';'A HAZA PÁRTJA';1;'491'
'1009';'P';;'MAGYAR SZOCIALISTA PÁRT';;;'MAGYAR SZOCIALISTA PÁRT';'MSZP';1;'498'
'1010';'P';;'KÖZÖSEN EGYMÁSÉRT DEMOKRATIKUS';'NÉPPÁRT';;'KÖZÖSEN EGYMÁSÉRT DEMOKRATIKUS NÉPPÁRT';'KEDN';1;'0'
'1011';'P';;'KELL AZ ÖSSZEFOGÁS PÁRT';;;'KELL AZ ÖSSZEFOGÁS PÁRT';'KÖSSZ';1;'499'
'1012';'P';;'ÉRTÜNK ÉRTETEK - A HITELES';'PÁRT';;'ÉRTÜNK ÉRTETEK - A HITELES PÁRT';'ÉRTÜNK ÉRTETEK';1;'500'
'1013';'P';;'MAGYAR KÉTFARKÚ KUTYA PÁRT';;;'MAGYAR KÉTFARKÚ KUTYA PÁRT';'MKKP';1;'501'
'1014';'P';;'MAGYAR LIBERÁLIS PÁRT -';'LIBERÁLISOK';;'MAGYAR LIBERÁLIS PÁRT - LIBERÁLISOK';'-';1;'502'
'1015';'N';10;'SZERB ORSZÁGOS ÖNKORMÁNYZAT';;;'SZERB ORSZÁGOS ÖNKORMÁNYZAT';'-';1;'503'
'1016';'P';;'FIDESZ - MAGYAR POLGÁRI';'SZÖVETSÉG';;'FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG';'FIDESZ';1;'504'
'1017';'P';;'NEMZETI ZÖLD KOALÍCIÓ';;;'NEMZETI ZÖLD KOALÍCIÓ';'NEMZETI ZÖLDEK';1;'587'
'1018';'P';;'EURÓPAI ROMA KERESZTÉNYEK';'JOBBLÉTÉÉRT DEMOKRATIKUS';'PÁRT';'EURÓPAI ROMA KERESZTÉNYEK JOBBLÉTÉÉRT DEMOKRATIKUS PÁRT';'EU.ROM';1;'523'
'1019';'P';;'HÁTRÁNYOS HELYZETŰEK PÁRTJA';;;'HÁTRÁNYOS HELYZETŰEK PÁRTJA';'HHP';1;'0'
'1020';'N';2;'MAGYARORSZÁGI GÖRÖGÖK ORSZÁGOS';'ÖNKORMÁNYZATA';;'MAGYARORSZÁGI GÖRÖGÖK ORSZÁGOS ÖNKORMÁNYZATA';'MGOÖ';1;'506'
'1021';'P';;'DEMOKRATA PÁRT';;;'DEMOKRATA PÁRT';'DEMOKRATA PÁRT';1;'588'
'1022';'P';;'MOMENTUM MOZGALOM';;;'MOMENTUM MOZGALOM';'MOMENTUM';1;'507'
'1023';'N';9;'ORSZÁGOS RUSZIN ÖNKORMÁNYZAT';;;'ORSZÁGOS RUSZIN ÖNKORMÁNYZAT';'ORÖ';1;'508'
'1024';'P';;'KERESZTÉNYDEMOKRATA NÉPPÁRT';;;'KERESZTÉNYDEMOKRATA NÉPPÁRT';'KDNP';1;'509'
'1025';'P';;'MAGYAR MUNKÁSPÁRT';;;'MAGYAR MUNKÁSPÁRT';'MUNKÁSPÁRT';1;'510'
'1026';'P';;'HAJRÁ MAGYARORSZÁG! PÁRT';;;'HAJRÁ MAGYARORSZÁG! PÁRT';'HAJRÁ MAGYARORSZÁG!';1;'511'
'1027';'P';;'NET PÁRT';;;'NET PÁRT';'NP';1;'581'
'1028';'P';;'JÓ ÚT MAGYAR POLGÁRI PÁRT';;;'JÓ ÚT MAGYAR POLGÁRI PÁRT';'JÓ ÚT MPP';1;'0'
'1029';'P';;'EURÓPAI CIGÁNYOK DEMOKRATIKUS';'PÁRTJA';;'EURÓPAI CIGÁNYOK DEMOKRATIKUS PÁRTJA';'ECDP';1;'0'
'1030';'P';;'MAGYAR DEMOKRATIKUS UNIÓ';;;'MAGYAR DEMOKRATIKUS UNIÓ';'-';1;'521'
'1031';'P';;'SZÖVETSÉG A SZENT KORONA';'ORSZÁGÁÉRT KONZERVATÍV PÁRT';;'SZÖVETSÉG A SZENT KORONA ORSZÁGÁÉRT KONZERVATÍV PÁRT';'SZASZKO';1;'0'
'1032';'P';;'A MI PÁRTUNK - IMA';;;'A MI PÁRTUNK - IMA';'IMA';1;'555'
'1033';'P';;'AQUILA PÁRT';;;'AQUILA PÁRT';'AQP';1;'522'
'1034';'N';7;'ORSZÁGOS ROMA ÖNKORMÁNYZAT';;;'ORSZÁGOS ROMA ÖNKORMÁNYZAT';'-';1;'525'
'1035';'P';;'ÉLHETŐBB, BOLDOG';'MAGYARORSZÁGÉRT PÁRT';;'ÉLHETŐBB, BOLDOG MAGYARORSZÁGÉRT PÁRT';'ÉBMP';1;'0'
'1036';'P';;'MAGYARORSZÁGI CIGÁNYPÁRT';;;'MAGYARORSZÁGI CIGÁNYPÁRT';'MCP';1;'526'
'1037';'P';;'MINDEN SZEGÉNYÉRT PÁRT';;;'MINDEN SZEGÉNYÉRT PÁRT';'MISZEP';1;'0'
'1038';'P';;'JÓLÉTI MAGYARORSZÁGOT PÁRT';;;'JÓLÉTI MAGYARORSZÁGOT PÁRT';'JMP';1;'0'
'1039';'P';;'MODERN MAGYARORSZÁG MOZGALOM';'PÁRT';;'MODERN MAGYARORSZÁG MOZGALOM PÁRT';'MODERN MAGYARORSZÁG MOZGALOM (MOMA)';1;'527'
'1040';'P';;'ELÉGEDETLENEK PÁRTJA';;;'ELÉGEDETLENEK PÁRTJA';'EP';1;'0'
'1041';'P';;'HALADÓ MAGYARORSZÁGÉRT PÁRT';;;'HALADÓ MAGYARORSZÁGÉRT PÁRT';'HAM';1;'0'
'1042';'P';;'SPORTOS ÉS EGÉSZSÉGES';'MAGYARORSZÁGÉRT PÁRT';;'SPORTOS ÉS EGÉSZSÉGES MAGYARORSZÁGÉRT PÁRT';'SEM';1;'1505'
'1043';'N';4;'ORSZÁGOS LENGYEL ÖNKORMÁNYZAT';;;'ORSZÁGOS LENGYEL ÖNKORMÁNYZAT';'OLÖ';1;'529'
'1044';'P';;'SZEGÉNYEKÉRT PÁRT';;;'SZEGÉNYEKÉRT PÁRT';'SZP';1;'0'
'1045';'P';;'HALADÁS PÁRT';;;'HALADÁS PÁRT';'HP';1;'0'
'1046';'N';12;'ORSZÁGOS SZLOVÉN ÖNKORMÁNYZAT';;;'ORSZÁGOS SZLOVÉN ÖNKORMÁNYZAT';'OSZÖ';1;'532'
'1047';'P';;'LEHET MÁS A POLITIKA';;;'LEHET MÁS A POLITIKA';'LMP';1;'582'
'1048';'P';;'VÁLTOZÁST AKARÓ SZAVAZÓK';'PÁRTJA';;'VÁLTOZÁST AKARÓ SZAVAZÓK PÁRTJA';'VÁLASZ';1;'534'
'1049';'N';13;'UKRÁN ORSZÁGOS ÖNKORMÁNYZAT';;;'UKRÁN ORSZÁGOS ÖNKORMÁNYZAT';'UOÖ';1;'537'
'1050';'P';;'ÖSSZEFOGÁS PÁRT';;;'ÖSSZEFOGÁS PÁRT';'-';1;'0'
'1051';'P';;'NEMZETI RADIKÁLIS KÖZTÁRSASÁGI';'PÁRT';;'NEMZETI RADIKÁLIS KÖZTÁRSASÁGI PÁRT';'NRKP';1;'548'
'1052';'P';;'KÖZLEKEDŐ POLGÁROK PÁRTJA';;;'KÖZLEKEDŐ POLGÁROK PÁRTJA';'KPP';1;'535'
'1053';'P';;'FIATALOK ÉS IDŐSEK TÁRSADALMI';'INTEGRÁCIÓJA PÁRT';;'FIATALOK ÉS IDŐSEK TÁRSADALMI INTEGRÁCIÓJA PÁRT';'FITIP';1;'536'
'1054';'P';;'NEMZETEGYESÍTŐ MOZGALOM';;;'NEMZETEGYESÍTŐ MOZGALOM';'NEEM';1;'540'
'1055';'P';;'IRÁNYTŰ PÁRT';;;'IRÁNYTŰ PÁRT';'IRÁNYTŰ';1;'556'
