tlid;ltip;nemz;jlcs;tnev;sorsz;erv;allapot
2;'N';2;552;'MGOÖ';1;1;1
3;'N';9;555;'ORÖ';1;1;1
4;'K';;644;'MSZP-PÁRBESZÉD';9;1;1
5;'N';7;566;'-';1;1;1
6;'N';3;631;'OHÖ';1;1;1
7;'N';4;576;'OLÖ';1;1;1
8;'O';;599;'DK';3;1;1
9;'N';5;533;'MNOÖ';1;1;1
10;'N';11;591;'OSZÖ';1;1;1
11;'N';10;546;'-';1;1;1
13;'N';13;582;'UOÖ';1;1;1
14;'K';;641;'FIDESZ-KDNP';13;1;1
15;'O';;597;'JOBBIK';15;1;1
17;'N';1;624;'-';1;1;1
18;'O';;554;'MOMENTUM';2;1;1
19;'N';8;627;'MROÖ';1;1;1
20;'O';;544;'MKKP';8;1;1
21;'O';;568;'MCP';12;1;1
22;'O';;536;'EGYÜTT';18;1;1
23;'O';;628;'SZEM PÁRT';4;1;1
24;'O';;557;'MUNKÁSPÁRT';17;1;1
25;'O';;569;'MISZEP';;1;4
26;'N';12;579;'OSZÖ';1;1;1
27;'O';;630;'-';21;1;1
28;'O';;542;'KÖSSZ';23;1;1
29;'O';;618;'EMMO';;1;4
30;'O';;553;'DEMOKRATA PÁRT';;1;4
31;'O';;601;'TAMP';;1;4
32;'O';;580;'LMP';20;1;1
33;'N';6;636;'-';1;1;1
34;'O';;558;'HAJRÁ MAGYARORSZÁG!';;1;4
35;'O';;626;'MIÉP';11;1;1
36;'O';;575;'SEM';1;1;1
37;'O';;588;'IRÁNYTŰ';10;1;1
38;'O';;543;'ÉRTÜNK ÉRTETEK';;1;4
39;'O';;604;'NEMZET ÉS BÉKE';;1;4
40;'O';;550;'EU.ROM';6;1;1
41;'O';;539;'A HAZA PÁRTJA';;1;4
42;'O';;609;'LENDÜLETTEL';;1;4
43;'O';;541;'KEDN';;1;4
44;'O';;592;'AMNP';;1;4
45;'O';;538;'FKGP';;1;4
46;'O';;656;'OCP';;1;4
47;'O';;559;'NP';14;1;1
48;'O';;574;'HAM';;1;4
49;'O';;629;'REND PÁRT';22;1;1
50;'O';;612;'MEDETE PÁRT';16;1;1
51;'O';;658;'EMKHHP';;1;4
52;'O';;605;'CSP';19;1;1
53;'O';;634;'KÖZÖS NEVEZŐ';5;1;1
54;'O';;583;'-';7;1;1
55;'O';;564;'IMA';;1;4
56;'O';;577;'SZP';;1;19
